,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_iterate,sentiment_scores,sentiment_scores_number,openai_mean_sentiment,std_sentiment,nltk_opinion_lexicon_net_z,vader_neg_z,vader_neu_z,vader_pos_z,vader_compound_z,openai_mean_sentiment_z
0,0,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,0.0,3.680000066757202,0.0, I think I say it about almost all of these cases that are brought against me.,"[50364, 286, 519, 286, 584, 309, 466, 1920, 439, 295, 613, 3331, 300, 366, 3038, 1970, 385, 13, 50548]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'I think I say it about almost all of these cases that are brought against me.', 'sentiment': {'polarity': 'neutral', 'score': 0.0}}, {'text': 'I think I say it about almost all of these cases that are brought against me.', 'sentiment_score': 7}, {'text': 'I think I say it about almost all of these cases that are brought against me.', 'sentiment': {'score': 5, 'label': 'Neutral'}}, {'text': 'I think I say it about almost all of these cases that are brought against me.', 'sentiment': {'overall_score': 6, 'positive': 7, 'negative': 3, 'neutral': 0}}, {'text': 'I think I say it about almost all of these cases that are brought against me.', 'sentiment': {'polarity': 'neutral', 'score': 5}}]","[0.0, 7, 5, 7, 5]","[0.0, 7.0, 5.0, 7.0, 5.0]",0.48,0.25612496949731395,0.12972844590481994,-0.5237053514264669,0.8707638460587648,-0.5195991539141082,-0.0772488262233098,0.1319669540896189
1,1,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,3.680000066757202,8.140000343322754,0.0, They are doing it for the purposes of hurting a political opponent of Biden and trying to,"[50548, 814, 366, 884, 309, 337, 264, 9932, 295, 17744, 257, 3905, 10620, 295, 9877, 293, 1382, 281, 50771]",0.0,0.11764705882352941,-0.11764705882352941,0.153,0.847,0.0,-0.4019,"[{'sentiment_analysis': {'text': 'They are doing it for the purposes of hurting a political opponent of Biden and trying to', 'sentiment_score': 3, 'sentiment_type': 'negative'}}, {'sentiment_analysis': {'text': 'They are doing it for the purposes of hurting a political opponent of Biden and trying to', 'sentiment_score': 2}}, {'sentiment_analysis': {'text': 'They are doing it for the purposes of hurting a political opponent of Biden and trying to', 'sentiment_score': 2}}, {'sentiment_analysis': {'text': 'They are doing it for the purposes of hurting a political opponent of Biden and trying to', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'They are doing it for the purposes of hurting a political opponent of Biden and trying to', 'sentiment_score': 3, 'sentiment_label': 'Negative'}}]","[3, 2, 2, 3, 3]","[3.0, 2.0, 2.0, 3.0, 3.0]",0.26,0.04898979485566356,-2.014271430805082,0.44699520633866957,0.38112283272201203,-0.5195991539141082,-1.0136604956793838,-0.7342899054859992
2,2,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,8.140000343322754,9.140000343322754,0.0, get him to win.,"[50771, 483, 796, 281, 1942, 13, 50821]",0.0,0.0,0.0,0.0,0.441,0.559,0.5859,"[{'text': 'get him to win', 'sentiment_score': 6}, {'sentiment_analysis': {'text': 'get him to win', 'sentiment_score': 8}}, {'text': 'get him to win', 'sentiment': {'overall_score': 7, 'positive_score': 8, 'negative_score': 2, 'sentences': [{'text': 'get him to win', 'sentiment_score': 7}]}}, {'sentiment_analysis': {'text': 'get him to win', 'sentiment_score': 8}}, {'text': 'get him to win', 'sentiment_analysis': {'overall_sentiment': 'Positive', 'sentiment_score': 8}}]","[6, 8, 7.0, 8, 8]","[6.0, 8.0, 7.0, 8.0, 8.0]",0.74,0.07999999999999999,0.12972844590481994,-0.5237053514264669,-0.9181860000539459,2.4251153137521144,1.287875824521437,1.155725060860804
3,3,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,9.140000343322754,11.65999984741211,0.0, And he's the worst president in the history of our country.,"[50821, 400, 415, 311, 264, 5855, 3868, 294, 264, 2503, 295, 527, 1941, 13, 50947]",0.0,0.09090909090909091,-0.09090909090909091,0.291,0.709,0.0,-0.6249,"[{'text': ""And he's the worst president in the history of our country."", 'sentiment': {'score': 1, 'sentiment': 'negative'}}, {'text': ""And he's the worst president in the history of our country."", 'sentiment': {'score': 1, 'label': 'negative'}}, {'text': ""And he's the worst president in the history of our country."", 'sentiment_score': 1}, {'sentiment_analysis': {'text': ""And he's the worst president in the history of our country."", 'sentiment_score': 1}}, {'sentiment_analysis': {'text': ""And he's the worst president in the history of our country."", 'sentiment_score': 1}}]","[1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.1,0.0,-1.5269987315528317,1.3225290427542828,-0.060514159699372766,-0.5195991539141082,-1.5332419893064164,-1.364294894268267
4,4,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,11.65999984741211,16.15999984741211,0.0," But in the case that you're talking about, I said very strongly that I'm very proud to","[50947, 583, 294, 264, 1389, 300, 291, 434, 1417, 466, 11, 286, 848, 588, 10613, 300, 286, 478, 588, 4570, 281, 51172]",0.058823529411764705,0.0,0.058823529411764705,0.0,0.646,0.354,0.8262,"[{'sentiment_analysis': {'text': ""But in the case that you're talking about, I said very strongly that I'm very proud to"", 'sentiment_score': 8}}, {'sentiment_analysis': {'text': ""But in the case that you're talking about, I said very strongly that I'm very proud to"", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""But in the case that you're talking about, I said very strongly that I'm very proud to"", 'sentiment_score': 8}}, {'text': ""But in the case that you're talking about, I said very strongly that I'm very proud to"", 'sentiment_score': 8}, {'text': ""But in the case that you're talking about, I said very strongly that I'm very proud to"", 'sentiment': {'score': 8, 'type': 'positive'}}]","[8, 7, 8, 8, 8]","[8.0, 7.0, 8.0, 8.0, 8.0]",0.78,0.039999999999999994,1.2017283842597712,-0.5237053514264669,-0.2621310475439178,1.345211081423714,1.8477656582370243,1.313226308056371
5,5,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,16.15999984741211,17.799999237060547,0.0, fight for our Constitution.,"[51172, 2092, 337, 527, 14505, 13, 51254]",0.0,0.0,0.0,0.464,0.536,0.0,-0.3818,"[{'text': 'fight for our Constitution.', 'sentiment': {'overall_score': 8, 'positive_score': 9, 'negative_score': 1}}, {'text': 'fight for our Constitution', 'sentiment_score': 8, 'sentiment': 'positive'}, {'text': 'fight for our Constitution.', 'sentiment': {'score': 9}}, {'text': 'fight for our Constitution.', 'sentiment': {'score': 8}}, {'text': 'fight for our Constitution', 'sentiment_score': 7.5, 'sentiment': 'positive'}]","[8.0, None, 9, 8, None]","[8.0, 9.0, 8.0]",0.8333333333333334,0.04714045207910317,0.12972844590481994,2.420118562318784,-0.6141605342566158,-0.5195991539141082,-0.9668282623973058,1.5232279709837937
6,6,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,17.799999237060547,23.479999542236328,0.0," And if that's what it takes, everybody said, this is such a minor thing.","[51254, 400, 498, 300, 311, 437, 309, 2516, 11, 2201, 848, 11, 341, 307, 1270, 257, 6696, 551, 13, 51538]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': ""And if that's what it takes, everybody said, this is such a minor thing."", 'sentiment_score': 4.8, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': ""And if that's what it takes, everybody said, this is such a minor thing."", 'sentiment_score': 4}}, {'sentiment_analysis': {'text': ""And if that's what it takes, everybody said, this is such a minor thing."", 'sentiment_score': 4.5, 'sentiment_rating': 'Neutral'}}, {'text': ""And if that's what it takes, everybody said, this is such a minor thing."", 'sentiment_score': 5.8, 'sentiment': 'Neutral'}, {'text': ""And if that's what it takes, everybody said, this is such a minor thing."", 'sentiment_analysis': {'score': 5, 'sentiment': 'Neutral'}}]","[4.8, 4, 4.5, 5.8, 5]","[4.8, 4.0, 4.5, 5.8, 5.0]",0.48200000000000004,0.05946427498927402,0.12972844590481994,-0.5237053514264669,0.8707638460587648,-0.5195991539141082,-0.0772488262233098,0.13984201644939748
7,7,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,23.479999542236328,25.719999313354492,0.0," You don't go to jail for this, all of them.","[51538, 509, 500, 380, 352, 281, 10511, 337, 341, 11, 439, 295, 552, 13, 51650]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': ""You don't go to jail for this, all of them."", 'sentiment_score': 2.1, 'sentiment_label': 'Negative'}}, {'text': ""You don't go to jail for this, all of them."", 'sentiment': {'polarity': 'negative', 'confidence': 0.8}}, {'text': ""You don't go to jail for this, all of them."", 'sentiment': 'Negative', 'confidence': 8}, {'sentiment_analysis': {'text': ""You don't go to jail for this, all of them."", 'sentiment_score': 3.5, 'sentiment_type': 'Neutral'}}, {'sentiment_analysis': {'text': ""You don't go to jail for this, all of them."", 'sentiment_score': 4}}]","[2.1, None, None, 3.5, 4]","[2.1, 3.5, 4.0]",0.31999999999999995,0.08041558721209878,0.12972844590481994,-0.5237053514264669,0.8707638460587648,-0.5195991539141082,-0.0772488262233098,-0.49803803469264896
8,8,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,25.719999313354492,27.940000534057617,0.0," But you don't understand what we're dealing against, Sean.","[51650, 583, 291, 500, 380, 1223, 437, 321, 434, 6260, 1970, 11, 14839, 13, 51761]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': ""But you don't understand what we're dealing against, Sean."", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""But you don't understand what we're dealing against, Sean."", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""But you don't understand what we're dealing against, Sean."", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""But you don't understand what we're dealing against, Sean."", 'sentiment_score': 3.8, 'sentiment': 'Negative'}}, {'sentiment_analysis': {'text': ""But you don't understand what we're dealing against, Sean."", 'sentiment_score': 3}}]","[3, 3, 3, 3.8, 3]","[3.0, 3.0, 3.0, 3.8, 3.0]",0.316,0.031999999999999994,0.12972844590481994,-0.5237053514264669,0.8707638460587648,-0.5195991539141082,-0.0772488262233098,-0.5137881594122055
9,9,-0.3321940004825592,1.0740740299224854,0.9501326680183411,2794,27.940000534057617,34.380001068115234,0.0," We're dealing against a system that is so corrupt, nobody's ever seen anything like","[50364, 492, 434, 6260, 1970, 257, 1185, 300, 307, 370, 17366, 11, 5079, 311, 1562, 1612, 1340, 411, 50686]",0.07142857142857142,0.0,0.07142857142857142,0.0,0.828,0.172,0.3612,"[{'sentiment_analysis': {'text': ""We're dealing against a system that is so corrupt, nobody's ever seen anything like"", 'sentiment_score': 1}}, {'sentiment_analysis': {'text': ""We're dealing against a system that is so corrupt, nobody's ever seen anything like"", 'sentiment_score': 1}}, {'sentiment_analysis': {'text': ""We're dealing against a system that is so corrupt, nobody's ever seen anything like"", 'sentiment_score': 1}}, {'text': ""We're dealing against a system that is so corrupt, nobody's ever seen anything like"", 'sentiment': {'score': 1, 'type': 'negative'}}, {'sentiment_analysis': {'text': ""We're dealing against a system that is so corrupt, nobody's ever seen anything like"", 'sentiment_score': 2}}]","[1, 1, 1, 1, 2]","[1.0, 1.0, 1.0, 1.0, 2.0]",0.12,0.04,1.4314426567644034,-0.5237053514264669,0.32031773956254594,0.38646683613703703,0.7643333957411935,-1.2855442706704834
