,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,0.0,3.680000066757202,0.0, I think I say it about almost all of these cases that are brought against me.,"[50364, 286, 519, 286, 584, 309, 466, 1920, 439, 295, 613, 3331, 300, 366, 3038, 1970, 385, 13, 50548]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,3.680000066757202,8.140000343322754,0.0, They are doing it for the purposes of hurting a political opponent of Biden and trying to,"[50548, 814, 366, 884, 309, 337, 264, 9932, 295, 17744, 257, 3905, 10620, 295, 9877, 293, 1382, 281, 50771]",0.0,0.11764705882352941,-0.11764705882352941,0.153,0.847,0.0,-0.4019
2,2,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,8.140000343322754,9.140000343322754,0.0, get him to win.,"[50771, 483, 796, 281, 1942, 13, 50821]",0.0,0.0,0.0,0.0,0.441,0.559,0.5859
3,3,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,9.140000343322754,11.65999984741211,0.0, And he's the worst president in the history of our country.,"[50821, 400, 415, 311, 264, 5855, 3868, 294, 264, 2503, 295, 527, 1941, 13, 50947]",0.0,0.09090909090909091,-0.09090909090909091,0.291,0.709,0.0,-0.6249
4,4,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,11.65999984741211,16.15999984741211,0.0," But in the case that you're talking about, I said very strongly that I'm very proud to","[50947, 583, 294, 264, 1389, 300, 291, 434, 1417, 466, 11, 286, 848, 588, 10613, 300, 286, 478, 588, 4570, 281, 51172]",0.058823529411764705,0.0,0.058823529411764705,0.0,0.646,0.354,0.8262
5,5,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,16.15999984741211,17.799999237060547,0.0, fight for our Constitution.,"[51172, 2092, 337, 527, 14505, 13, 51254]",0.0,0.0,0.0,0.464,0.536,0.0,-0.3818
6,6,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,17.799999237060547,23.479999542236328,0.0," And if that's what it takes, everybody said, this is such a minor thing.","[51254, 400, 498, 300, 311, 437, 309, 2516, 11, 2201, 848, 11, 341, 307, 1270, 257, 6696, 551, 13, 51538]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,7,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,23.479999542236328,25.719999313354492,0.0," You don't go to jail for this, all of them.","[51538, 509, 500, 380, 352, 281, 10511, 337, 341, 11, 439, 295, 552, 13, 51650]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,8,-0.2113809734582901,1.7170418500900269,0.2639109492301941,0,25.719999313354492,27.940000534057617,0.0," But you don't understand what we're dealing against, Sean.","[51650, 583, 291, 500, 380, 1223, 437, 321, 434, 6260, 1970, 11, 14839, 13, 51761]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,9,-0.3321940004825592,1.0740740299224854,0.9501326680183411,2794,27.940000534057617,34.380001068115234,0.0," We're dealing against a system that is so corrupt, nobody's ever seen anything like","[50364, 492, 434, 6260, 1970, 257, 1185, 300, 307, 370, 17366, 11, 5079, 311, 1562, 1612, 1340, 411, 50686]",0.07142857142857142,0.0,0.07142857142857142,0.0,0.828,0.172,0.3612
10,10,-0.3321940004825592,1.0740740299224854,0.9501326680183411,2794,34.380001068115234,34.380001068115234,0.0,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
