,Unnamed: 0,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_iterate,sentiment_scores,sentiment_scores_number,openai_mean_sentiment,std_sentiment,nltk_opinion_lexicon_net_z,vader_neg_z,vader_neu_z,vader_pos_z,vader_compound_z,openai_mean_sentiment_z
0,0,0,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,0.0,3.700000047683716,0.0," And that comes right from the government services,","[50364, 400, 300, 1487, 558, 490, 264, 2463, 3328, 11, 50549]",0.125,0.0,0.125,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'And that comes right from the government services', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'And that comes right from the government services', 'sentiment_score': 6}}, {'sentiment_analysis': {'text': 'And that comes right from the government services', 'sentiment_score': 6.8, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'And that comes right from the government services', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'And that comes right from the government services', 'sentiment_score': 7.5, 'sentiment_label': 'Positive'}}]","[7, 6, 6.8, 5, 7.5]","[7.0, 6.0, 6.8, 5.0, 7.5]",0.6459999999999999,0.08754427451295715,1.0801272185673907,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,0.522933373861486
1,1,1,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,3.700000047683716,6.480000019073486,0.0, comes right out of Border Patrol.,"[50549, 1487, 558, 484, 295, 36985, 34967, 13, 50688]",0.1666666666666666,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'comes right out of Border Patrol.', 'sentiment_score': 3, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': 'comes right out of Border Patrol.', 'sentiment_score': 3.5, 'sentiment_type': 'neutral'}}, {'sentiment_analysis': {'text': 'comes right out of Border Patrol.', 'sentiment_score': 3}}, {'text': 'comes right out of Border Patrol.', 'sentiment_analysis': {'score': 3.8, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'comes right out of Border Patrol.', 'sentiment_score': 5.6, 'sentiment_type': 'Neutral'}}]","[3, 3.5, 3, 3.8, 5.6]","[3.0, 3.5, 3.0, 3.8, 5.6]",0.378,0.09599999999999999,1.5443547212603677,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.5088173809474347
2,2,2,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,6.480000019073486,7.440000057220459,0.0, Take a look at that.,"[50688, 3664, 257, 574, 412, 300, 13, 50736]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'Take a look at that.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'Take a look at that.', 'rating': 8}}, {'sentiment_analysis': {'text': 'Take a look at that.', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Take a look at that.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'Take a look at that.', 'sentiment_score': 7}}]","[7, None, 5, 7, 7]","[7.0, 5.0, 7.0, 7.0]",0.65,0.08660254037844387,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,0.5383326388586345
3,3,3,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,7.440000057220459,10.4399995803833,0.0, So that arrow is the lowest amount,"[50736, 407, 300, 11610, 307, 264, 12437, 2372, 50886]",0.0,0.0,0.0,0.302,0.698,0.0,-0.3818,"[{'sentiment_analysis': {'text': 'So that arrow is the lowest amount', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'So that arrow is the lowest amount', 'sentiment_score': 2, 'sentiment_label': 'Negative'}}, {'sentiment_analysis': {'text': 'So that arrow is the lowest amount', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'So that arrow is the lowest amount', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'So that arrow is the lowest amount', 'sentiment_score': 1}}]","[1, 2, 1, 1, 1]","[1.0, 2.0, 1.0, 1.0, 1.0]",0.12,0.04000000000000001,-0.3125552895115417,1.589054146849204,-0.6375980012783845,-0.40198493981783967,-1.3154817511822594,-1.5020699732634855
4,4,4,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,10.4399995803833,13.84000015258789,0.0, of illegal immigration ever in recorded history,"[50886, 295, 11905, 13554, 1562, 294, 8287, 2503, 51056]",0.0,0.1428571428571428,-0.1428571428571428,0.375,0.625,0.0,-0.5574,"[{'sentiment_analysis': {'text': 'of illegal immigration ever in recorded history', 'sentiment_score': 3.5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'of illegal immigration ever in recorded history', 'sentiment_score': 3.2, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': 'The text provided by the user is: of illegal immigration ever in recorded history', 'sentiment_score': 3.5, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': 'of illegal immigration ever in recorded history', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'of illegal immigration ever in recorded history', 'sentiment_score': 3.7, 'sentiment_label': 'Negative'}}]","[3.5, 3.2, 3.5, 3, 3.7]","[3.5, 3.2, 3.5, 3.0, 3.7]",0.33799999999999997,0.024819347291981715,-1.9041924416017495,2.0895976321566123,-0.9538100313519065,-0.40198493981783967,-1.9361166772798164,-0.6628100309189155
5,5,5,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,13.84000015258789,15.880000114440918,0.0, into our country.,"[51056, 666, 527, 1941, 13, 51158]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'into our country.', 'sentiment': {'score': 1, 'magnitude': 0.3}}, {'sentiment_analysis': {'text': 'into our country.', 'sentiment_score': 4.5, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': 'into our country.', 'sentiment_score': 4.5, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': 'into our country.', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'Into our country.', 'sentiment_score': 5}}]","[1, 4.5, 4.5, 3, 5]","[1.0, 4.5, 4.5, 3.0, 5.0]",0.36,0.14628738838327793,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.5781140734346011
6,6,6,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,15.880000114440918,21.21999931335449,0.0," And then, and then the worst president","[51158, 400, 550, 11, 293, 550, 264, 5855, 3868, 51425]",0.0,0.1428571428571428,-0.1428571428571428,0.406,0.594,0.0,-0.6249,"[{'sentiment_analysis': {'text': 'And then, and then the worst president', 'sentiment_score': 2, 'sentiment': 'Negative'}}, {'sentiment_analysis': {'text': 'And then, and then the worst president', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'And then, and then the worst president', 'sentiment_score': 2}}, {'sentiment_analysis': {'text': 'And then, and then the worst president', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'And then, and then the worst president', 'sentiment_score': 1.4, 'sentiment': 'Negative'}}]","[2, 1, 2, 1, 1.4]","[2.0, 1.0, 2.0, 1.0, 1.4]",0.148,0.04489988864128729,-1.9041924416017495,2.3021571944104435,-1.0880918523420324,-0.40198493981783967,-2.1746864808765425,-1.394275118283449
7,7,7,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,21.21999931335449,23.420000076293945,0.0, in the history of our country took over.,"[51425, 294, 264, 2503, 295, 527, 1941, 1890, 670, 13, 51535]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'in the history of our country took over.', 'sentiment_score': 3, 'sentiment_rating': 'Neutral'}}, {'text': 'in the history of our country took over.', 'sentiment_score': 4}, {'text': 'in the history of our country took over.', 'sentiment_score': 3.5, 'sentiment': 'Neutral'}, {'sentiment_analysis': {'text': 'in the history of our country took over.', 'sentiment_score': 4.5, 'sentiment_category': 'Neutral'}}, {'sentiment_analysis': {'text': 'In the history of our country took over.', 'sentiment_score': 4.5, 'sentiment_label': 'Neutral'}}]","[3, 4, 3.5, 4.5, 4.5]","[3.0, 4.0, 3.5, 4.5, 4.5]",0.39,0.058309518948453,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.4626195859559904
8,8,8,-0.3431105613708496,1.675257682800293,0.0425174199044704,0,23.420000076293945,26.65999984741211,0.0, And look what happened to our country.,"[51535, 400, 574, 437, 2011, 281, 527, 1941, 13, 51697]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'And look what happened to our country.', 'sentiment_analysis': {'overall_score': -2, 'sentences': [{'text': 'And look what happened to our country.', 'score': -2}]}}, {'text': 'And look what happened to our country.', 'sentiment': {'score': -5, 'magnitude': 5}}, {'text': 'And look what happened to our country.', 'sentiment': {'score': -6, 'magnitude': 6}}, {'text': 'And look what happened to our country.', 'sentiment_analysis': {'sentiment_score': 3, 'sentiment': 'Negative'}}, {'text': 'And look what happened to our country.', 'sentiment': {'score': -4.2, 'sentiment': 'negative'}}]","[None, -5, -6, 3, -4.2]","[-5.0, -6.0, 3.0, -4.2]",-0.305,0.35507041555161983,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-3.1382418792104687
9,9,9,-0.2779053747653961,1.3916083574295044,0.0012629142729565,2666,26.86000061035156,30.020000457763672,0.0, Probably 20 million people.,"[50374, 9210, 945, 2459, 561, 13, 50532]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'Probably 20 million people.', 'sentiment_score': 3.5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'Probably 20 million people.', 'sentiment_score': 8.5}}, {'text': 'Probably 20 million people.', 'sentiment': {'score': 8, 'magnitude': 0.8}}, {'sentiment_analysis': {'text': 'Probably 20 million people.', 'sentiment_score': 4.5, 'sentiment_type': 'Neutral'}}, {'sentiment_analysis': {'text': 'Probably 20 million people', 'sentiment_score': 3}}]","[3.5, 8.5, 8, 4.5, 3]","[3.5, 8.5, 8.0, 4.5, 3.0]",0.55,0.23021728866442676,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,0.1533510139299327
