,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,0.0,3.700000047683716,0.0," And that comes right from the government services,","[50364, 400, 300, 1487, 558, 490, 264, 2463, 3328, 11, 50549]",0.125,0.0,0.125,0.0,1.0,0.0,0.0
1,1,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,3.700000047683716,6.480000019073486,0.0, comes right out of Border Patrol.,"[50549, 1487, 558, 484, 295, 36985, 34967, 13, 50688]",0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0
2,2,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,6.480000019073486,7.440000057220459,0.0, Take a look at that.,"[50688, 3664, 257, 574, 412, 300, 13, 50736]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,7.440000057220459,10.4399995803833,0.0, So that arrow is the lowest amount,"[50736, 407, 300, 11610, 307, 264, 12437, 2372, 50886]",0.0,0.0,0.0,0.302,0.698,0.0,-0.3818
4,4,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,10.4399995803833,13.84000015258789,0.0, of illegal immigration ever in recorded history,"[50886, 295, 11905, 13554, 1562, 294, 8287, 2503, 51056]",0.0,0.14285714285714285,-0.14285714285714285,0.375,0.625,0.0,-0.5574
5,5,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,13.84000015258789,15.880000114440918,0.0, into our country.,"[51056, 666, 527, 1941, 13, 51158]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,6,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,15.880000114440918,21.219999313354492,0.0," And then, and then the worst president","[51158, 400, 550, 11, 293, 550, 264, 5855, 3868, 51425]",0.0,0.14285714285714285,-0.14285714285714285,0.406,0.594,0.0,-0.6249
7,7,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,21.219999313354492,23.420000076293945,0.0, in the history of our country took over.,"[51425, 294, 264, 2503, 295, 527, 1941, 1890, 670, 13, 51535]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,8,-0.3431105613708496,1.675257682800293,0.042517419904470444,0,23.420000076293945,26.65999984741211,0.0, And look what happened to our country.,"[51535, 400, 574, 437, 2011, 281, 527, 1941, 13, 51697]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,9,-0.2779053747653961,1.3916083574295044,0.0012629142729565501,2666,26.860000610351562,30.020000457763672,0.0, Probably 20 million people.,"[50374, 9210, 945, 2459, 561, 13, 50532]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
