,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.27334991097450256,1.6373239755630493,0.39270201325416565,0,0.0,5.0,0.0," The Border Patrol, I know them so well, they endorsed me, they always endorse me.","[50364, 440, 36985, 34967, 11, 286, 458, 552, 370, 731, 11, 436, 50094, 385, 11, 436, 1009, 29228, 385, 13, 50614]",0.13333333333333333,0.0,0.13333333333333333,0.0,0.601,0.399,0.7434
1,1,-0.27334991097450256,1.6373239755630493,0.39270201325416565,0,5.0,8.0,0.0," They said when Trump comes back, it'll all be better.","[50614, 814, 848, 562, 3899, 1487, 646, 11, 309, 603, 439, 312, 1101, 13, 50764]",0.1,0.0,0.1,0.0,0.756,0.244,0.4404
2,2,-0.27334991097450256,1.6373239755630493,0.39270201325416565,0,8.0,11.0,0.0," And Biden, by the way, he doesn't need any legislation.","[50764, 400, 9877, 11, 538, 264, 636, 11, 415, 1177, 380, 643, 604, 11329, 13, 50914]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,-0.27334991097450256,1.6373239755630493,0.39270201325416565,0,11.0,14.0,0.0," He could say the word, close the border. That's what I did.","[50914, 634, 727, 584, 264, 1349, 11, 1998, 264, 7838, 13, 663, 311, 437, 286, 630, 13, 51064]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,4,-0.27334991097450256,1.6373239755630493,0.39270201325416565,0,14.0,18.0,0.0," I said close the border, and it was so bad that it took a little while.","[51064, 286, 848, 1998, 264, 7838, 11, 293, 309, 390, 370, 1578, 300, 309, 1890, 257, 707, 1339, 13, 51264]",0.0,0.0625,-0.0625,0.257,0.743,0.0,-0.6696
5,5,-0.27334991097450256,1.6373239755630493,0.39270201325416565,0,18.0,22.0,0.0, I fixed the border originally. That's how I got elected in a way.,"[51264, 286, 6806, 264, 7838, 7993, 13, 663, 311, 577, 286, 658, 11776, 294, 257, 636, 13, 51464]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,6,-0.27334991097450256,1.6373239755630493,0.39270201325416565,0,22.0,26.0,0.0," But now the border is—and I fixed it, and I couldn't even use it in 2020.","[51464, 583, 586, 264, 7838, 307, 2958, 474, 286, 6806, 309, 11, 293, 286, 2809, 380, 754, 764, 309, 294, 4808, 13, 51664]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,7,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,26.0,30.0,0.0," In 2016, it was a big factor of my win.","[50364, 682, 6549, 11, 309, 390, 257, 955, 5952, 295, 452, 1942, 13, 50564]",0.0,0.0,0.0,0.0,0.678,0.322,0.5859
8,8,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,30.0,34.0,0.0," I fixed it very quickly, and then in 2020 it was so good.","[50564, 286, 6806, 309, 588, 2661, 11, 293, 550, 294, 4808, 309, 390, 370, 665, 13, 50764]",0.0,0.0,0.0,0.0,0.746,0.254,0.5777
9,9,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,34.0,36.0,0.0," I said, let me talk about the border.","[50764, 286, 848, 11, 718, 385, 751, 466, 264, 7838, 13, 50864]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,10,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,36.0,38.0,0.0," My people over here, all these geniuses said,","[50864, 1222, 561, 670, 510, 11, 439, 613, 14017, 279, 848, 11, 50964]",0.125,0.0,0.125,0.0,1.0,0.0,0.0
11,11,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,38.0,41.0,0.0," police here, don't talk about the border. It's fixed.","[50964, 3804, 510, 11, 500, 380, 751, 466, 264, 7838, 13, 467, 311, 6806, 13, 51114]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,12,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,41.0,44.0,0.0," I said, let's talk about it. But nobody wanted to hear about it.","[51114, 286, 848, 11, 718, 311, 751, 466, 309, 13, 583, 5079, 1415, 281, 1568, 466, 309, 13, 51264]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,13,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,44.0,49.0,0.0, But now the border is a hundred times worse than it was in 2016.,"[51264, 583, 586, 264, 7838, 307, 257, 3262, 1413, 5324, 813, 309, 390, 294, 6549, 13, 51514]",0.0,0.07142857142857142,-0.07142857142857142,0.257,0.743,0.0,-0.631
14,14,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,49.0,52.0,0.0, Former President Trump slamming President Biden's handling of the border,"[51514, 36514, 3117, 3899, 25617, 2810, 3117, 9877, 311, 13175, 295, 264, 7838, 51664]",0.1,0.0,0.1,0.0,1.0,0.0,0.0
15,15,-0.19094373285770416,1.7814815044403076,0.00015597650781273842,2600,52.0,55.0,0.0, as he outlines what he would do to fix it.,"[51664, 382, 415, 40125, 437, 415, 576, 360, 281, 3191, 309, 13, 51814]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
