,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_iterate,sentiment_scores,sentiment_scores_number,openai_mean_sentiment,std_sentiment,nltk_opinion_lexicon_net_z,vader_neg_z,vader_neu_z,vader_pos_z,vader_compound_z,openai_mean_sentiment_z
0,0,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,0.0,0.699999988079071,0.0," Okay, question?","[50364, 1033, 11, 1168, 30, 50399]",0.0,0.0,0.0,0.0,0.345,0.655,0.2263,"[{'sentiment_analysis': {'text': 'Okay, question?', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Okay, question?', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'Okay, question?', 'sentiment_score': 4.5, 'sentiment_rating': 'Neutral'}}, {'sentiment_analysis': {'text': 'Okay, question?', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Okay, question?', 'sentiment_score': 5}}]","[5, 3, 4.5, 5, 5]","[5.0, 3.0, 4.5, 5.0, 5.0]",0.45,0.07745966692414834,0.014927638722578357,-0.3111911030933934,-1.3530186030651754,1.5161363061901665,1.2725979719811045,0.04890913271583873
1,1,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,0.699999988079071,1.3600000143051147,0.0, Yeah.,"[50399, 865, 13, 50432]",0.0,0.0,0.0,0.0,0.0,1.0,0.296,"[{'sentiment_analysis': {'text': 'Yeah', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Yeah.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'Yeah', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Yeah', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Yeah.', 'sentiment_score': 5}}]","[5, 7, 5, 5, 5]","[5.0, 7.0, 5.0, 5.0, 5.0]",0.54,0.07999999999999999,0.014927638722578357,-0.3111911030933934,-2.3661484749255726,2.5651806093993166,1.7379315148318892,0.4726870217754339
2,2,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,1.3600000143051147,2.0399999618530273,0.0, Go ahead.,"[50432, 1037, 2286, 13, 50466]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'The text from 1-10 is as follows: Go ahead.', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'The text from 1-10 is satisfactory.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'The text from 1-10 is stored in a variable called text.', 'sentiment_score': 7.5, 'sentiment': 'Positive'}}, {'sentiment_analysis': {'text': '1-10'}}, {'sentiment_analysis': {'text': 'The text from 1-10', 'sentiment_score': 7}}]","[5, 7, 7.5, None, 7]","[5.0, 7.0, 7.5, 7.0]",0.6625,0.09601432184835759,0.014927638722578357,-0.3111911030933934,0.5704598493074629,-0.4755275158445965,-0.23823388952725422,1.0494958152176603
3,3,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,2.0399999618530273,4.699999809265137,0.0, Sure.,"[50466, 4894, 13, 50599]",0.0,0.0,0.0,0.0,0.0,1.0,0.3182,"[{'sentiment_analysis': {'text': 'Sure.', 'rating': 7}}, None, {'sentiment_analysis': {'text': '1-10', 'score': 7}}, {'sentiment_analysis': {'text': ""1-10 into JSON files without any ''' json ''' that is not in the string format"", 'sentiment_score': 5}}, {'sentiment_analysis': {'text': '1-10', 'sentiment': 'neutral'}}]","[None, None, 7, 5, None]","[7.0, 5.0]",0.6,0.1,0.014927638722578357,-0.3111911030933934,-2.3661484749255726,2.5651806093993166,1.886143920158825,0.7552056144818303
4,4,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,4.699999809265137,5.900000095367432,0.0, She's shocked that I picked her.,"[50599, 1240, 311, 12763, 300, 286, 6183, 720, 13, 50659]",0.0,0.16666666666666666,-0.16666666666666666,0.365,0.635,0.0,-0.3182,"[{'sentiment_analysis': {'text': ""She's shocked that I picked her."", 'sentiment_score': 7}}, {'analysis': [{'text': ""She's shocked that I picked her."", 'sentiment_score': 8}]}, {'text': ""She's shocked that I picked her."", 'sentiment_score': 7.5, 'sentiment': 'Positive'}, {'text': ""She's shocked that I picked her."", 'sentiment': {'score': 8}}, {'sentiment_analysis': {'text': ""She's shocked that I picked her."", 'sentiment_score': 8}}]","[7, None, 7.5, 8, 8]","[7.0, 7.5, 8.0, 8.0]",0.7625,0.041457809879442496,-3.224369964076929,2.685513008822986,-0.501402189037595,-0.4755275158445965,-2.3626116992133337,1.520360136394988
5,5,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,5.900000095367432,8.100000381469727,0.0, It's like in a state of shock.,"[50659, 467, 311, 411, 294, 257, 1785, 295, 5588, 13, 50769]",0.14285714285714285,0.0,0.14285714285714285,0.286,0.44,0.275,-0.0258,"[{'text': ""It's like in a state of shock."", 'sentiment': {'overall_score': -0.6, 'comparative_score': -0.2, 'positive_words': [], 'negative_words': ['shock']}}, {'sentiment_analysis': {'text': ""It's like in a state of shock."", 'sentiment_score': 3}}, {'text': ""It's like in a state of shock."", 'sentiment_score': -6, 'sentiment': 'negative'}, {'sentiment_analysis': {'text': ""It's like in a state of shock."", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""It's like in a state of shock."", 'sentiment_score': 2}}]","[-0.6, 3, -6, 3, 2]","[-0.6, 3.0, -6.0, 3.0, 2.0]",0.027999999999999997,0.3404937591204867,2.7914684411221558,2.0369112969287557,-1.074040812263037,0.36066721859747963,-0.41048073896126064,-1.938138302652485
6,6,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,8.100000381469727,8.779999732971191,0.0, That's okay.,"[50769, 663, 311, 1392, 13, 50803]",0.0,0.0,0.0,0.0,0.345,0.655,0.2263,"[{'sentiment_analysis': {'text': ""That's okay."", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""That's okay."", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""That's okay."", 'sentiment_score': 5}}, {'sentiment_analysis': {'text': ""That's okay."", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""That's okay."", 'sentiment_score': 5}}]","[7, 7, 5, 7, 5]","[7.0, 7.0, 5.0, 7.0, 5.0]",0.62,0.09797958971132711,0.014927638722578357,-0.3111911030933934,-1.3530186030651754,1.5161363061901665,1.2725979719811045,0.849378478717296
7,7,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,8.779999732971191,9.9399995803833,0.0, I know you're not thinking.,"[50803, 286, 458, 291, 434, 406, 1953, 13, 50861]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': ""I know you're not thinking."", 'sentiment_score': 2}}, {'sentiment_analysis': {'text': ""I know you're not thinking."", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""I know you're not thinking."", 'sentiment_score': 1}}, {'sentiment_analysis': {'text': ""I know you're not thinking."", 'sentiment_score': 3, 'sentiment': 'Negative'}}, {'sentiment_analysis': {'text': ""I know you're not thinking."", 'sentiment_score': 2}}]","[2, 3, 1, 3, 2]","[2.0, 3.0, 1.0, 3.0, 2.0]",0.22000000000000003,0.07483314773547882,0.014927638722578357,-0.3111911030933934,0.5704598493074629,-0.4755275158445965,-0.23823388952725422,-1.0340788059920152
8,8,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,9.9399995803833,10.600000381469727,0.0, You never do.,"[50861, 509, 1128, 360, 13, 50894]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'You never do.', 'sentiment_analysis': {'score': 1, 'sentiment': 'Negative'}}, {'sentiment_analysis': {'text': 'You never do.', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'You never do.', 'sentiment_score': 1}}, {'text': 'You never do.', 'sentiment analysis': {'score': 1, 'sentiment': 'negative'}}, {'text': 'You never do.', 'sentiment': {'score': 1, 'interpretation': 'Very negative'}}]","[1, 1, 1, None, 1]","[1.0, 1.0, 1.0, 1.0]",0.1,0.0,0.014927638722578357,-0.3111911030933934,0.5704598493074629,-0.4755275158445965,-0.23823388952725422,-1.5991159914048085
9,9,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,10.600000381469727,11.279999732971191,0.0," No, go ahead.","[50894, 883, 11, 352, 2286, 13, 50928]",0.0,0.0,0.0,0.524,0.476,0.0,-0.296,"[{'sentiment_analysis': {'text': 'No, go ahead.', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'No, go ahead.', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'No, go ahead.', 'sentiment_score': 1}}, {'sentiment_analysis': {'text': 'No, go ahead.', 'sentiment_score': 2}}, {'sentiment_analysis': {'text': 'No, go ahead.', 'sentiment_score': 1}}]","[1, 1, 1, 2, 1]","[1.0, 1.0, 1.0, 2.0, 1.0]",0.12,0.04,0.014927638722578357,3.990926580863272,-0.9683229125906477,-0.4755275158445965,-2.2143992938863977,-1.5049431271693432
10,10,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,11.279999732971191,11.9399995803833,0.0, Go ahead.,"[50928, 1037, 2286, 13, 50961]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'The text from 1-10', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'Go ahead.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'Go ahead.', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'Go ahead.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'Go ahead.', 'sentiment_score': 7}}]","[7, 7, 8, 7, 7]","[7.0, 7.0, 8.0, 7.0, 7.0]",0.72,0.039999999999999994,0.014927638722578357,-0.3111911030933934,0.5704598493074629,-0.4755275158445965,-0.23823388952725422,1.3202427998946238
11,11,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,11.9399995803833,16.719999313354492,0.0," The Press In a tweet this weekend, Mr. President,","[50961, 440, 6776, 682, 257, 15258, 341, 6711, 11, 2221, 13, 3117, 11, 51200]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'The Press In a tweet this weekend, Mr. President', 'sentiment_analysis': {'overall_sentiment': 6, 'sentences': [{'text': 'The Press In a tweet this weekend, Mr. President', 'sentiment': 6}]}}, {'sentiment_analysis': {'text': 'The Press In a tweet this weekend, Mr. President,', 'sentiment_score': 7.5}}, {'sentiment_analysis': {'text': 'The Press In a tweet this weekend, Mr. President', 'sentiment_score': 4.5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'The Press In a tweet this weekend, Mr. President', 'sentiment_score': 5, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': 'The Press In a tweet this weekend, Mr. President', 'sentiment_score': 4.5, 'sentiment_label': 'Neutral'}}]","[6, 7.5, 4.5, 5, 4.5]","[6.0, 7.5, 4.5, 5.0, 4.5]",0.55,0.1140175425099138,0.014927638722578357,-0.3111911030933934,0.5704598493074629,-0.4755275158445965,-0.23823388952725422,0.5197734538931668
12,12,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,16.719999313354492,18.3799991607666,0.0, you said that it's incorrect to say you're,"[51200, 291, 848, 300, 309, 311, 18424, 281, 584, 291, 434, 51283]",0.0,0.125,-0.125,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': ""you said that it's incorrect to say you're"", 'sentiment_score': 2, 'sentiment': 'negative'}}, {'sentiment_analysis': {'text': ""you said that it's incorrect to say you're"", 'sentiment_score': 1}}, {'sentiment_analysis': {'text': ""you said that it's incorrect to say you're"", 'sentiment_score': 4}}, {'sentiment_analysis': {'text': ""you said that it's incorrect to say you're"", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""you said that it's incorrect to say you're"", 'sentiment_score': 1.5, 'sentiment_label': 'Negative'}}]","[2, 1, 4, 3, 1.5]","[2.0, 1.0, 4.0, 3.0, 1.5]",0.22999999999999998,0.10770329614269007,-2.414545563377052,-0.3111911030933934,0.5704598493074629,-0.4755275158445965,-0.23823388952725422,-0.9869923738742826
13,13,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,18.3799991607666,21.6200008392334,0.0, limiting the scope of the FBI investigation.,"[51283, 22083, 264, 11923, 295, 264, 17441, 9627, 13, 51445]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'limiting the scope of the FBI investigation.', 'sentiment': {'polarity': 'negative', 'subjectivity': 'objective', 'score': 3.5}}, {'text': 'limiting the scope of the FBI investigation', 'sentiment': {'score': -0.4, 'magnitude': 0.4}}, {'text': 'limiting the scope of the FBI investigation.', 'sentiment': {'score': -3, 'rating': 2}}, {'text': 'limiting the scope of the FBI investigation', 'sentiment': {'overall_sentiment': 'neutral', 'sentiment_score': 5}}, {'text': 'limiting the scope of the FBI investigation.', 'sentiment': {'score': -2, 'magnitude': 0.4}}]","[3.5, -0.4, -3, 5, -2]","[3.5, -0.4, -3.0, 5.0, -2.0]",0.061999999999999986,0.31140969798643076,0.014927638722578357,-0.3111911030933934,0.5704598493074629,-0.4755275158445965,-0.23823388952725422,-1.7780444334521934
