,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.2558184862136841,1.6912751197814941,0.410161554813385,0,0.0,4.920000076293945,0.0," We're coming on the air right now because we have just learned that Kamala Harris, the","[50364, 492, 434, 1348, 322, 264, 1988, 558, 586, 570, 321, 362, 445, 3264, 300, 11934, 5159, 17426, 11, 264, 50610]",0.0625,0.0,0.0625,0.0,1.0,0.0,0.0
1,1,-0.2558184862136841,1.6912751197814941,0.410161554813385,0,4.920000076293945,11.239999771118164,0.0," current vice president, has called now-president-elect Donald Trump in a concession speech.","[50610, 2190, 11964, 3868, 11, 575, 1219, 586, 12, 14508, 1078, 12, 14664, 8632, 3899, 294, 257, 416, 29881, 6218, 13, 50926]",0.08333333333333333,0.16666666666666666,-0.08333333333333333,0.0,1.0,0.0,0.0
2,2,-0.2558184862136841,1.6912751197814941,0.410161554813385,0,11.239999771118164,13.920000076293945,0.0, And we understand she will be making remarks to the nation at 4 p.m.,"[50926, 400, 321, 1223, 750, 486, 312, 1455, 19151, 281, 264, 4790, 412, 1017, 280, 13, 76, 13, 51060]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,-0.2558184862136841,1.6912751197814941,0.410161554813385,0,13.920000076293945,16.559999465942383,0.0, We want to bring in senior White House correspondent Kelly O'Donnell.,"[51060, 492, 528, 281, 1565, 294, 7965, 5552, 4928, 44406, 12345, 422, 41063, 266, 8903, 13, 51192]",0.0,0.0,0.0,0.0,0.885,0.115,0.0772
4,4,-0.2558184862136841,1.6912751197814941,0.410161554813385,0,16.559999465942383,19.600000381469727,0.0," Now, Kelly, what have you learned about what was discussed on that phone call?","[51192, 823, 11, 12345, 11, 437, 362, 291, 3264, 466, 437, 390, 7152, 322, 300, 2593, 818, 30, 51344]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,5,-0.2558184862136841,1.6912751197814941,0.410161554813385,0,19.600000381469727,25.280000686645508,0.0," Well, advisors to the vice president say that she placed the call to Donald Trump, the now-president-elect,","[51344, 1042, 11, 29136, 281, 264, 11964, 3868, 584, 300, 750, 7074, 264, 818, 281, 8632, 3899, 11, 264, 586, 12, 14508, 1078, 12, 14664, 11, 51628]",0.0,0.058823529411764705,-0.058823529411764705,0.0,0.884,0.116,0.2732
6,6,-0.20904189348220825,1.6292134523391724,0.9641497731208801,2528,25.280000686645508,31.31999969482422,0.0, and wanted to talk about the need for a peaceful transition and being a president for all Americans.,"[50364, 293, 1415, 281, 751, 466, 264, 643, 337, 257, 13962, 6034, 293, 885, 257, 3868, 337, 439, 6280, 13, 50666]",0.05555555555555555,0.0,0.05555555555555555,0.0,0.824,0.176,0.4939
7,7,-0.20904189348220825,1.6292134523391724,0.9641497731208801,2528,31.31999969482422,34.119998931884766,0.0, A concession call used to be commonplace.,"[50666, 316, 416, 29881, 818, 1143, 281, 312, 2689, 6742, 13, 50806]",0.0,0.14285714285714285,-0.14285714285714285,0.0,1.0,0.0,0.0
8,8,-0.20904189348220825,1.6292134523391724,0.9641497731208801,2528,34.119998931884766,38.599998474121094,0.0, It used to be an absolute basic of election life in America.,"[50806, 467, 1143, 281, 312, 364, 8236, 3875, 295, 6618, 993, 294, 3374, 13, 51030]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,9,-0.20904189348220825,1.6292134523391724,0.9641497731208801,2528,38.599998474121094,42.439998626708984,0.0, And that changed when Donald Trump did not concede in 2020.,"[51030, 400, 300, 3105, 562, 8632, 3899, 630, 406, 416, 29815, 294, 4808, 13, 51222]",0.09090909090909091,0.09090909090909091,0.0,0.0,1.0,0.0,0.0
10,10,-0.20904189348220825,1.6292134523391724,0.9641497731208801,2528,42.439998626708984,47.15999984741211,0.0," And so part of what we're seeing from the Biden-Harris administration, already from","[51222, 400, 370, 644, 295, 437, 321, 434, 2577, 490, 264, 9877, 12, 39, 2284, 271, 7236, 11, 1217, 490, 51458]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,11,-0.20904189348220825,1.6292134523391724,0.9641497731208801,2528,47.15999984741211,51.63999938964844,0.0," President Biden and certainly from Kamala Harris, who, of course, is feeling, you know,","[51458, 3117, 9877, 293, 3297, 490, 11934, 5159, 17426, 11, 567, 11, 295, 1164, 11, 307, 2633, 11, 291, 458, 11, 51682]",0.0,0.0,0.0,0.0,0.755,0.245,0.4404
12,12,-0.3053928017616272,1.3857142925262451,0.3521023690700531,5164,51.959999084472656,57.15999984741211,0.0," I'm sure, disappointment and distress over losing, trying to get back to those institutions.","[50380, 286, 478, 988, 11, 28175, 293, 24516, 670, 7027, 11, 1382, 281, 483, 646, 281, 729, 8142, 13, 50640]",0.0,0.14285714285714285,-0.14285714285714285,0.431,0.463,0.106,-0.7906
13,13,-0.3053928017616272,1.3857142925262451,0.3521023690700531,5164,57.15999984741211,59.959999084472656,0.0, So they are going to have the conversation.,"[50640, 407, 436, 366, 516, 281, 362, 264, 3761, 13, 50780]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,14,-0.3053928017616272,1.3857142925262451,0.3521023690700531,5164,59.959999084472656,70.19999694824219,0.0, She will make remarks to the public later this afternoon.,"[50780, 1240, 486, 652, 19151, 281, 264, 1908, 1780, 341, 6499, 13, 51292]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
